tic,longitude,latitude
EACI,-87.80345428571428,42.114380714285716
ECIL,34.8572474,32.0916588
PKI,-71.27463092235207,42.4048621
MTWD.1,-79.98543132086398,37.13970925455588
EZEM,-90.25490812905983,38.655073838461526
EGXP,-81.7429960390353,33.52063125848899
3WRKSE,-73.3365433291145,40.7543528
EML,-2.2182257,51.6962971
EGP,-90.2976301,38.6554674
KODK,-67.9966258881312,46.68348245
EV,-71.05188730224751,42.356326800000005
ECL,-93.0977622,44.946633
EDO.,-73.39865503809429,40.70891305
ECC.1,28.0959825,-26.168278
EDUC,-95.84068551505017,36.08928537792642
DMDS,-118.59269309523809,34.186926273809526
AGE.1,-73.370738,40.70075
EP,-106.4644113,31.8031531
ELN,-77.03435193219468,38.89761945
ELBT,-2.620269802438108,51.44636495
ELRC,-118.3963018,33.9462323
ESIO,-122.82034037741181,45.52517655
ELSE,-93.4048631,44.8951967
ELL.Z.,-77.1346849,39.0535498
ELMG,-89.4091855,43.0722508
ETCIA,-70.901505,42.574004
ELT.1,34.8114704,32.0938181
EMLTF,-2.9599625,53.4030841
EMON.1,-87.92442628120199,42.064674229213956
EMP..,-90.14304155172414,30.406501655172413
EDE,-94.51463814285714,37.085373591836735
ELX,121.0009839,14.6145789
EGN,-86.80770929166667,33.520026625
ENERQ,-83.636201,43.009978
EC.2,-74.330253,40.5652934
EASI.1,-76.30440067407405,40.15430381875902
EMCO.,-86.22766862162162,41.81999848648649
MARA,-75.95965,43.9739938
EBF,-83.7200731,32.8133322
ENZN,-69.7980247,44.364207
ETCC,-75.85993801781416,36.180170099123615
ENZ,-73.97347439499461,40.76004965
EFX,-80.21432425,36.075731000000005
ERIC,17.9488307,59.4088055
ESCA,-104.54940798191261,36.53996329138147
ESP,-73.7965042842965,43.0675503
KEYW.1,-76.80865963292933,39.1873249
NEU,-90.48575778193988,38.7803682251523
ETZLF,30.4968913,-0.1730198
ESCC,-111.8303519,40.7526724
EXAR,-121.92320618476734,37.46166355
CNVR.,-77.2270775,38.9128945
KINS,-74.02599487327166,41.93347475
3EXOL,-85.75158133854345,38.294210899999996
EXTC.,-77.17484925148229,39.127277885787166
EXPD,27.9450251,-26.2790502
BOOM,-122.9017404,47.0500105
IIIN,-80.63505644045034,36.52838220201258
XOM,-96.948546,32.892125
FAFO,-121.82073425163678,39.70960909588313
FMC,-95.220644,41.479836
NEE,-80.060536,26.858328
JAS,-81.44029730102295,41.22113927155498
FGRD,-90.07663263265306,29.98482693877551
FFD.1,-81.46178937740456,28.41611605
FMTC,-74.12880287354163,40.73822279080703
FCPR,-85.6333789,39.1527876
FDO,-85.29196920000001,43.5036942
FELI,-0.1139459,51.602205
CVST,-81.326092,35.716918
FFIH,-75.4619552,40.0434073
FARM,-111.7978612,34.8744324
1970B,-94.68230562947969,39.3137820694974
FJCC,-74.57615885000001,40.643163
FDX,-89.85841876288166,35.10740330666484
RUSMF,-79.7393914,43.6127767
FDML,-83.1461211,42.4897774
FNMA,-77.03496818956691,38.9041381
FRT,151.2723372,-33.8778802
FSCR,-97.57128,37.658228
M,-93.28056891836735,44.941256
SGK,-76.5904825338686,34.9629410636196
IDC,-71.24733498042443,42.5093416
3FRCM,-70.81193499166716,42.81189611663776
RF,-97.5629038,49.1071088
IMDC.,-119.81981,34.430355
FMER,-74.29837118367348,40.83805769387755
USB.1,-93.2698892,44.9785588
TRMK,-90.18511146544377,32.29997093735901
FCNCA,-78.64101469180449,35.8389502
FCIC,-86.19041720931139,39.94148759468427
MTB,-78.87425961595504,42.8837732
4069B,-1.5175086,54.9004403
FHRT,-71.40311739105316,41.84737971116923
BWE,-86.31030337312342,32.37717644062813
AIB1,-76.6148774,39.2881771
CEM.2,-111.8558581,39.7190917
USB,-93.2698892,44.9785588
3MESHE,-84.82349,39.823983
FRPC,18.3940861,-33.912131
FHN,-86.73773123319455,34.71442798335046
FVB,-77.0833581,38.8865753
FAME,-118.42706341414141,34.27562866666667
BDL,-111.491822,33.398668
MALJF,-79.6341226,43.7115792
FBF,-71.05595722374802,42.355055899999996
FLTWQ,-77.4697988,37.5630063
FLMIQ,-96.97659047890042,33.01514444582354
FLXS,31.0432226,-29.8669776
FLTI.1,-104.778257,38.9469911
FPL1,-80.060536,26.858328
DUK9,-77.13153521506682,45.8235841
PGN3,-78.63854156303726,35.77398239372973
FPU,-81.6432828,30.6280481
FRK,-76.61418328571429,39.31324412244898
FLOW.1,-122.2535607,47.5081918
FLO,-83.93519609689938,30.810213016044177
FLR,-96.948546,32.892125
FONR,-89.37686450881179,30.2783296
DEG1,-74.1728175,40.7087236
FSM.2,-91.21312128614771,35.37136886550061
TNO.1,-89.19954790044183,41.32538985
F,-86.8777382,36.1502802
F1,-86.8777382,36.1502802
FRX.1,-73.96786609443062,40.7582826
SABI,-86.736439,34.723806
FSTR,-102.4008497629317,31.950910877951824
FWLT,-0.9545175061643211,51.415740299999996
FELE,-0.1505918,51.6112215
BEN,-122.42112688323421,37.7744482
FEIM,-73.60453677242975,40.7221774
FRS,-72.9439543,41.3085055
FFEX,-96.87466821068419,32.82315226043045
FUJIY,139.7309312,35.6667323
